order_id,line_number,transaction_ts,store_id,customer_id,product_id,quantity,unit_price,discount_amount,payment_method,order_status,source_system
ORD-714895,1,2026-07-23 15:20:00,6,,187,1,111.55,0.0,Gift Card,Completed,POS-v2
ORD-714635,1,2026-07-22 16:16:44,15,205,185,1,93.73,0.0,Gift Card,Completed,POS-v2
ORD-715383,1,2026-07-25 21:46:00,6,473,182,1,195.25,0.0,Credit Card,Completed,POS-v2
ORD-657922,3,2025-10-31 11:39:48,4,607,227,1,134.16,26.83,Credit Card,Returned,POS-v2
ORD-714863,2,2026-07-23 21:03:50,16,1100,237,1,55.84,0.0,Debit Card,Completed,POS-v2
ORD-612317,1,2025-03-07 11:50:01,16,610,84,2,$50.83,10.17,Mobile Pay,Returned,POS-v2
ORD-715302,1,2026-07-25 09:55:35,1,700,141,1,1122.69,0.0,Debit Card,Completed,POS-v2
ORD-715612,2,2026-07-26 16:02:20,8,,155,1,19.51,3.9,Mobile Pay,Completed,POS-v2
ORD-715929,1,2026-07-28 21:18:00,13,382,110,1,25.73,0.0,Mobile Pay,Cancelled,POS-v2
ORD-715518,1,2026-07-26 16:26:41,17,48,196,1,50.99,0.0,Gift Card,Completed,POS-v2
ORD-715305,2,2026-07-25 17:33:57,11,590,149,2,134.15,0.0,Credit Card,Completed,POS-v2
ORD-715308,4,2026-07-25 15:37:21,16,586,136,1,55.76,0.0,Debit Card,Completed,POS-v2
ORD-714867,2,2026-07-23 17:30:01,19,,217,1,81.50,0.0,Cash,Completed,POS-v2
ORD-715295,1,2026-07-25 15:56:08,19,319,50,1,215.03,0.0,Debit Card,Completed,POS-v2
ORD-715123,3,07/24/2026 18:12,2,878,70,3,237.97,0.0,Gift Card,Completed,POS-v2
ORD-715267,2,2026-07-25 17:25:30,14,165,153,1,1127.10,0.0,Cash,Completed,POS-v2
ORD-714761,1,2026-07-22 15:06:55,9,861,115,2,80.31,0.0,Credit Card,Completed,POS-v2
ORD-715600,1,2026-07-26 10:24:12,11,,175,1,14.65,0.0,Debit Card,Completed,POS-v2
ORD-715931,1,2026-07-28 16:09:45,5,664,183,3,145.87,0.0,Credit Card,Completed,POS-v2
ORD-715433,3,2026-07-26 18:35:09,12,681,236,1,$61.31,0.0,Mobile Pay,Completed,POS-v2
ORD-715165,1,2026-07-24 15:34:42,12,1049,118,3,345.48,0.0,Gift Card,Completed,POS-v2
